pruning_method,alpha,retained_flops,val IoU,val F1,test IoU,test F1
IPAD_eq,,0.03,0.8078370006044328,0.8937055722770806,0.8241650776360021,0.90360799879369
IPAD_eq,,0.25,0.8844485910192337,0.938681580632418,0.8946924061854742,0.9444196886678092
IPAD_eq,,0.5,0.8941936579453443,0.944141750443075,0.9069717115451158,0.9512167443849976
IPAD_eq,,0.75,0.8951286249323953,0.9446626610521776,0.9018284183899196,0.9483804213562064
L1,0.0,0.03,0.8170824046453622,0.8993344523688029,0.8194381357975118,0.900759547329515
L1,0.0,0.25,0.8899874974377754,0.9417919416338114,0.9034649753068068,0.9492845805173624
L1,0.0,0.5,0.8929989221232012,0.9434753624916036,0.9080104335683132,0.9517877026177208
L1,0.0,0.75,0.895356034881586,0.9447892832836804,0.9103272265705094,0.9530589460369704
L1,0.5,0.03,0.8211617544835192,0.9017999114706868,0.8333680277952701,0.90911155333874
L1,0.5,0.25,0.8851842009793855,0.9390957133202338,0.8954528465347582,0.9448431789498888
L1,0.5,0.5,0.8945482141891311,0.944339349602669,0.902874522595408,0.9489585486319304
L1,0.5,0.75,0.8924404498913643,0.9431635747825988,0.908413792424304,0.952009250855732
L1,1.0,0.03,0.7722108313854931,0.8714661006577733,0.7916990629982003,0.8837411140611792
L1,1.0,0.25,0.8714389958444487,0.9313036628813324,0.8823726993800134,0.9375111524626718
L1,1.0,0.5,0.8872521272263487,0.9402581821755028,0.901253086477707,0.9480621942314724
L1,1.0,0.75,0.8938878483697188,0.9439712590575922,0.9048164208781996,0.9500300511490146
L2,0.0,0.03,0.4356335508138717,0.6068868348289962,0.4573972758571636,0.6276905870956111
L2,0.0,0.25,0.8862735711763463,0.9397084120980764,0.8918132126685407,0.9428131770055388
L2,0.0,0.5,0.8890462337592686,0.9412646634805072,0.9035724372110902,0.9493438962952284
L2,0.0,0.75,0.892512320971099,0.94320370977889,0.9012474216385916,0.9480590599427094
L2,0.5,0.03,0.7851249166376394,0.8796302256723371,0.7627082037279184,0.8653822590884652
L2,0.5,0.25,0.885530583289008,0.939290607256384,0.8975443920733662,0.9460062128956652
L2,0.5,0.5,0.8826306965660371,0.9376567567669818,0.8800965272791665,0.9362248315546038
L2,0.5,0.75,0.8930548214359146,0.9435065602152156,0.9100512384039152,0.9529076708584802
L2,1.0,0.03,0.7944031057910061,0.8854232398810061,0.8128835795341287,0.8967851975834233
L2,1.0,0.25,0.887341141039265,0.9403081634204724,0.8958730536721469,0.9450770471545192
L2,1.0,0.5,0.8880151132675475,0.940686445809937,0.8960485174639338,0.9451746716507512
L2,1.0,0.75,0.8930179489163329,0.9434859816596513,0.8966336520883401,0.9455000981355332
no_pruning,,1.0,0.8915419336284134,0.9426615585711392,0.9073869340069064,0.9514450558814836
random,,0.03,0.8051975086945691,0.8920879901688417,0.8123611632219343,0.8964671939645352
random,,0.25,0.888108169363379,0.9407386544626052,0.8944331123640354,0.9442752098519704
random,,0.5,0.8908208095032562,0.942258309223164,0.8982564953687687,0.9464016033241778
random,,0.75,0.8959994666618905,0.9451473825985756,0.9071880350049856,0.9513357029870566
uniform,,0.03,0.0,0.0,0.0,0.0
uniform,,0.25,0.8861084741635984,0.939615601437289,0.9005579938373376,0.9476774681514016
uniform,,0.5,0.8888561926852672,0.9411581422952444,0.9063682621090472,0.9508847583376326
uniform,,0.75,0.8925695902409237,0.9432356884983022,0.899440933102902,0.94705859753542
